severity,method,precision,recall,f1
easy,classical,0.05238359040862389,0.16751500375501166,0.07749759732383656
easy,cnn,0.8644603734119634,0.8627660548251445,0.8615181274426209
easy,ensemble,0.14824343040428706,0.956960927189252,0.25489850255687424
hard,classical,0.4011562601099308,0.4830655439490665,0.4264811090075154
hard,cnn,0.9411049860683852,0.7498084552816755,0.8232353326521971
hard,ensemble,0.3892080911719266,0.9201588327086317,0.5404571780802805
moderate,classical,0.19794934719988336,0.3787492562342328,0.2516119280730706
moderate,cnn,0.9052867278001645,0.8455362432299998,0.8630355539213244
moderate,ensemble,0.2720250998007722,0.9545443542944837,0.41768072934562966
